Country,Year,HDI,Lifeexpectancy,GDP,Population
Afghanistan,2000,0.365,54.8,114.56,293756
Afghanistan,2001,0.370,55.3,117.49698,2966463
Afghanistan,2002,0.373,56.2,187.84595,21979923
Afghanistan,2003,0.383,56.7,198.7285436,2364851
Afghanistan,2004,0.398,57,219.1413528,24118979
Afghanistan,2005,0.408,57.3,25.2941299,257798
Afghanistan,2006,0.417,57.3,272.56377,2589345
Afghanistan,2007,0.429,57.5,369.835796,26616792
Afghanistan,2008,0.437,58.1,373.3611163,2729431
Afghanistan,2009,0.453,58.6,445.8932979,284331
Afghanistan,2010,0.463,58.8,553.32894,2883167
Afghanistan,2011,0.471,59.2,63.537231,2978599
Afghanistan,2012,0.482,59.5,669.959,3696958
Afghanistan,2013,0.487,59.9,631.744976,31731688
Afghanistan,2014,0.491,59.9,612.696514,327582
Afghanistan,2015,0.493,65,584.25921,33736494
Angola,2000,0.387,45.3,555.2969419,1644924
Angola,2001,0.401,45.7,526.168743,16983266
Angola,2002,0.418,46.5,711.181716,17572649
Angola,2003,0.429,46.8,779.468356,1823369
Angola,2004,0.442,47.1,141.86844,18865716
Angola,2005,0.455,47.4,1443.991929,19552542
Angola,2006,0.471,47.7,262.415149,2262399
Angola,2007,0.492,48.2,2878.837144,2997687
Angola,2008,0.502,48.7,3868.578883,2175942
Angola,2009,0.522,49.1,3347.84485,22549547
Angola,2010,0.52,49.6,3529.53482,23369131
Angola,2011,0.535,51,4299.12889,24218565
Angola,2012,0.543,56,4598.249988,259615
Angola,2013,0.554,51.1,484.616884,2599834
Angola,2014,0.564,51.7,479.31224,2692466
Angola,2015,0.572,52.4,3695.793748,2785935
Austria,2000,0.838,78.1,24517.26745,811566
Austria,2001,0.849,78.6,24489.73553,842293
Austria,2002,0.838,78.7,26351.37568,881957
Austria,2003,0.842,78.8,3212.9355,8121423
Austria,2004,0.849,79.3,36693.4262,8171966
Austria,2005,0.855,79.4,38242.4252,8227829
Austria,2006,0.861,79.8,443.99361,8268641
Austria,2007,0.881,81,46586.6525,8295487
Austria,2008,0.884,84,51386.37665,8321496
Austria,2009,0.886,82,47654.18721,8343323
Austria,2010,0.895,84,46657.629,836344
Austria,2011,0.897,88,51126.74139,8391643
Austria,2012,0.899,88,48333.57273,8429991
Austria,2013,0.897,81.1,554.71532,8479375
Austria,2014,0.901,81.4,51322.63997,8541575
Austria,2015,0.903,81.5,43665.947,8633169
Belgium,2000,0.873,77.6,2327.4591,125125
Belgium,2001,0.876,78,23121.56635,128657
Belgium,2002,0.879,78,2552.3328,1332785
Belgium,2003,0.882,78.3,3743.95693,1376133
Belgium,2004,0.885,78.8,35589.71295,1421137
Belgium,2005,0.889,78.9,36967.28292,1478617
Belgium,2006,0.896,79.4,38852.3613,1547958
Belgium,2007,0.899,79.5,4443.83131,16257
Belgium,2008,0.899,79.5,48424.58927,179973
Belgium,2009,0.899,79.8,4488.5615,1796493
Belgium,2010,0.903,80,4438.23741,1895586
Belgium,2011,0.904,83,4772.77415,1147744
Belgium,2012,0.905,83,4474.5717,11128246
Belgium,2013,0.908,87,4651.38647,11182817
Belgium,2014,0.909,89,47439.39684,112957
Belgium,2015,0.913,81.1,4356.875,11274196
Bhutan,2000,0.47,62,765.8632358,573416
Bhutan,2001,0.481,61.7,87.9387673,5896
Bhutan,2002,0.491,62.5,885.6382245,66399
Bhutan,2003,0.50,63.3,997.7417141,623434
Bhutan,2004,0.512,64.2,197.45788,64282
Bhutan,2005,0.51,65,1247.61392,656639
Bhutan,2006,0.521,65.8,1335.45696,672228
Bhutan,2007,0.535,66.5,1741.142552,686958
Bhutan,2008,0.543,67,1795.18137,795
Bhutan,2009,0.554,67.4,177.234497,714458
